Time,S_Up_var_CST,S_Up_var_Coal,S_Up_var_Wind,S_Up_var_Gas,Status_var_CST,Status_var_Coal,Status_var_Wind,Status_var_Gas,S_Down_var_CST,S_Down_var_Coal,S_Down_var_Wind,S_Down_var_Gas,Pwr_Gen_var_CST,Pwr_Gen_var_Coal,Pwr_Gen_var_Wind,Pwr_Gen_var_Gas,Angle_bus_var_System,P_chrg_PV Battery,P_dischrg_PV Battery,SOC_PV Battery,U_bin_PV Battery,unserved_demand_System,Pwr_curtailed_CST,Pwr_curtailed_Wind,Objective_Subhorizon_1,Fixed_Cost_Subhorizon_1,Startup_Cost_Subhorizon_1,Shutdown_Cost_Subhorizon_1,Variable_Cost_Subhorizon_1,Unserved_Demand_Cost_Subhorizon_1,Objective_Subhorizon_2,Fixed_Cost_Subhorizon_2,Startup_Cost_Subhorizon_2,Shutdown_Cost_Subhorizon_2,Variable_Cost_Subhorizon_2,Unserved_Demand_Cost_Subhorizon_2,Objective_Subhorizon_3,Fixed_Cost_Subhorizon_3,Startup_Cost_Subhorizon_3,Shutdown_Cost_Subhorizon_3,Variable_Cost_Subhorizon_3,Unserved_Demand_Cost_Subhorizon_3
41,-0.0,0.0,-0.0,0.0,-0.0,8.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,21735.734521164868,2781.3374999999996,0.0,0.0,0.0,389.8482460215676,8286.091903390812,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.0,-0.0,-0.0,2.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,23173.147682616396,3493.2225000000003,1000.0,0.0,0.0,0.0,8286.091903390812,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,22985.91172653392,1973.0175,1208.914444729919,0.0,0.0,2137.4962064073075,5771.390484088098,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,2.0,-0.0,0.0,-0.0,-0.0,0.0,21305.91172653392,729.9825,2408.914444729919,0.0,0.0,2946.825598549883,2304.5368387352937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,2.0,-0.0,1.0,-0.0,-0.0,3541.01875,19625.91172653392,548.9475,1700.0,0.0,0.0,1108.8563129249997,1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,7171.6,16865.91172653392,1369.4325000000001,500.0,0.0,894.0943422463606,0.0,1759.9801909094065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,7209.006249999999,15395.91172653392,1734.945,500.0,0.0,1435.5336394800943,0.0,2980.1837844674865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,7296.125000000001,13925.91172653392,1282.7475,500.0,0.0,562.3830501015527,0.0,3458.2093770538063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.0,-0.0,-0.0,1.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,7379.58125,12281.032903151827,1179.6750000000002,500.0,0.0,0.0,174.87882338209238,1717.7144611870845,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3322269126466252e8,150400.0,740000.0,81000.0,8.880800312419595e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,7391.4625,11473.170213146059,1367.6474999999998,499.99999999998727,0.0,0.0,0.0,1717.7144611870845,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
